Idx,Common name,Binomial,images_url,Sources
6,Orange-footed scrubfowl,Megapodius reinwardt,,
26,Radjah shelduck,Tadorna radjah,,
27,Australian shelduck,Tadorna tadornoides,,
28,Paradise shelduck,Tadorna variegata,,
29,Australian wood duck,Chenonetta jubata,,
30,Pink-eared duck,Malacorhynchus membranaceus,,
543,Superb fairywren,Malurus cyaneus,,
33,Garganey,Anas querquedula,,
301,Grey plover,Pluvialis squatarola,,
62,Spinifex pigeon,Geophaps plumifera,,
68,Peaceful dove,Geopelia striata,,
69,Bar-shouldered dove,Geopelia humeralis,,
70,Wonga pigeon,Leucosarcia melanoleuca,,
200,Brown booby,Sula leucogaster,,
203,Great cormorant,Phalacrocorax carbo,,
204,Little black cormorant,Phalacrocorax sulcirostris,,
209,Kerguelen shag,Phalacrocorax verrucosus,,
82,New Zealand pigeon,Hemiphaga novaeseelandiae,,
83,Tawny frogmouth,Podargus strigoides,,
217,Grey heron,Ardea cinerea,,
220,Intermediate egret,Ardea intermedia,,
350,Little stint,Calidris minuta,,
106,Grey-backed storm petrel,Garrodia nereis,,
108,Black-bellied storm petrel,Fregetta tropica,,
