,Idx,Common name,Binomial,Notes,Category,Order,Family,colour,size,Common_name_lowercase,link,Height,Length,Weight,Image,Voice,Habitat,Description,Range,Movements,Reproduction,Diet,Protection,Sources
0,0,Southern cassowary,Casuarius casuarius,,Cassowaries,Casuariformes,Casuariidae,,,southern-cassowary,http://www.oiseaux-birds.com/card-southern-cassowary.html,130-170 cm,,male: 29-34 kg &ndash; F: 58 kg,http://www.oiseaux-birds.com/struthioniformes/casuariides/casoar-casque/casoar-male1.jpg,http://www.xeno-canto.org/species/Casuarius-casuarius,"Southern Cassowary frequents mainly the rainforest.  This species prefers virgin forests where it can live free from disturbances. 
    It is often found at medium elevation, in dense  tropical rainforest, but also in galleries and swamp forests.","Southern Cassowary is the second largest and tallest  bird after the Ostrich. This species differs in general facts by the female.  She has the criterions of most of the other species’ males, such as brighter  colours, really much larger size, and she does not share the nesting duties  with the male.","Southern Cassowary lives in Aru and Seram Islands  of Indonesia, in New Guinea and NE Australia.","Southern Cassowary does not fly. Its powerful legs and  feet allow it to run at speeds of up to 50 km per hour. It is able to jump up to 5 metres. It also can  swim, and cross lakes and wide rivers without any difficulty.","Breeding season starts at the end of the dry season in  New Guinea, and from June to  October in Queensland. 
    The female copulates with several males, and  disappears as soon as the eggs are laid. 
    The nest is a shallow depression scraped in the  ground, with a lining of leaves and grasses. It is very well camouflaged in the  vegetation. 
    She lays 3 to 5 greenish eggs. Incubation by the male  lasts about 50 days. The male rears the chicks during about 9 months.","Southern Cassowary feeds mainly on fallen fruits of  different plant’s species. It also consumes invertebrates, small vertebrates  and sometimes carrion.","Southern Cassowary is fairly widespread in New Guinea, but  declines due to habitat loss and hunting occurred. Disturbances are also an  important fact in local declines.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
L’ENCYCLOPEDIE MONDIALE DES  OISEAUX - Dr  Christopher M. Perrins -  BORDAS -  ISBN: 2040185607
Avibase (Lepage Denis)

Birds in backyards (Birds Australia and Australian Museum) 
ARKive (Christopher Parsons) 
El Zoológico Electrónico (Damisela)"
1,1,Emu,Dromaius novaehollandiae,,Emus,Casuariformes,Dromaiidae,,,emu,http://www.oiseaux-birds.com/card-emu.html,,150-190 cm,30-55 kg,http://www.oiseaux-birds.com/struthioniformes/dromaiides/emeu-australie/emeu-australie-pi5.jpg,http://www.xeno-canto.org/species/Dromaius-novaehollandiae,"The Emu  frequents several types of habitats such as woodland and scrub to open country.  It can be found both on coastal and inland regions, and at any elevation. They  breed in grassland, heath or woodland. 
    This  species usually avoids the rainforest and the very dry areas.","The Emu is  a flightless bird, but the long, powerful legs make it well adapted for walking  and running over wide areas. This is the second largest living bird, after the Ostrich.","The Emu  is found in Australia, but apart from desert areas and some south-western regions.  This species has been introduced to Kangaroo Island and Maria Island, off S  Australia.","The Emu  is flightless, but it walks easily and can run very fast.","The  breeding season starts in December-January with egg-laying in April-May. 
    The  reproduction of the Emu is based on successive polyandry of the females, while  their mates perform all the nesting duties. 
    After  pairing in December-January, the male builds the nest, a shallow depression on  the ground made with twigs, leaves and grass, in the shelter of some vegetation  but with a good view of the surrounding area.","The Emu  is omnivorous, but it feeds regularly on highly nutritious food. It feeds on  seeds, fruits, flowers and tender roots. In summer, large quantities of insects  are eaten, especially caterpillars, grasshoppers and beetles. It also takes small  vertebrates. 
    Coprophagy  is also recorded in order to avoid deshydratation in dry areas where food  resources are scarce. In suitable habitat, it drinks 2-3 times a day.","The Emu  has stable populations. This species has benefited from human alterations to  the environment, such as water supplies and fences which protect them from  predators. 
    The Emu  is not currently threatened.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
L’ENCYCLOPEDIE  MONDIALE DES OISEAUX - Dr Christopher M. Perrins -  BORDAS - ISBN: 2040185607
BIRDS OF ASIA AND AUSTRALIA by David Alderton – Southwater  - ISBN : 184215978X
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)  
Animal  Diversity Web (University of Michigan Museum of  Zoology) 
Birds  in backyards (Birds Australia and Australian Museum) 
SAN DIEGO ZOO - Birds"
6,6,Orange-footed scrubfowl,Megapodius reinwardt,,Mound-builders,Galliformes,Megapodidae,,,orange-footed-scrubfowl,http://www.oiseaux-birds.com/card-orange-footed-scrubfowl.html,,"35-47 cm; Weight: M&nbsp;: 850-1200 g &ndash; F&nbsp;: 560-1200 g<strong></strong></p>\n  <p align=""justify""><strong><u>DESCRIPTION</u></strong>:",M&nbsp;: 850-1200 g &ndash; F&nbsp;: 560-1200 g<strong></strong>,http://www.oiseaux-birds.com/galliformes/megapodiides/megapode reinwardt/megapode-reinwardt-pi1.jpg,,"Orange-footed Scrubfowl lives mainly in forests and  wooded areas, rainforests and swamp forests. It is mainly seen in lowlands, but  in some parts of its range, it can be seen up to 1500-1900 metres of  elevation. 
    It breeds in clearings, near forest edges, and  sometimes on small islands.
   
RANGE: 
    Orange-footed Scrubfowl is found on islands in  Wallacea, in southern New Guinea  and northern Australia.","Orange-footed Scrubfowl is one of the three Australian  megapodes. Their drab plumage with combination of brown, black and grey is well  adapted to their terrestrial life. 
    Adult male has grey upperparts, widely tinged with  chestnut. Wings and short tail are dark chestnut.","T: 
    Orange-footed Scrubfowl lives mainly in forests and  wooded areas, rainforests and swamp forests. It is mainly seen in lowlands, but  in some parts of its range, it can be seen up to 1500-1900 metres of  elevation. 
    It breeds in clearings, near forest edges, and  sometimes on small islands.
   
RANGE: 
    Orange-footed Scrubfowl is found on islands in  Wallacea, in southern New Guinea  and northern Australia.",,"Orange-footed Scrubfowl, as some other megapodes, uses  unique incubation system. 
    Both sexes build a mound with leaves, earth, sticks,  debris, sand…circular or elongated. This mound is usually built on flat or  slightly sloping ground, in shade. 
    This mound can be used separately by different pairs,  and it is reused year after year.","Orange-footed Scrubfowl feeds mainly on seeds, fallen  fruits, berries, roots and shoots of flowers. It also consumes snails,  earthworms, insects and their larvae. Food is found in leaf litter.","Orange-footed Scrub fowl’s populations are not  globally threatened. In some parts of the range, this species can be threatened  by human developments, exploitation for food, degradation of the habitat and  introduced predators. 
    However, populations remain stable, and these birds  are common and widespread in some parts of the range.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 2 by Josep  del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334156
Avibase (Lepage Denis) 
Wikipedia (Wikipedia, The Free Encyclopedia)"
10,10,Indian peafowl,Pavo cristatus,introduced,Pheasants,Galliformes,Phasianidae,,,indian-peafowl,http://www.oiseaux-birds.com/card-indian-peafowl.html,,180-230 cm (tail: 40-45 cm &ndash; train: 140-160  cm),4000-6000 g,http://www.oiseaux-birds.com/galliformes/phasianides/paon-bleu/paon-bleu-m-nb1.jpg,http://www.xeno-canto.org/species/Pavo-cristatus,"The Indian Peafowl favours open forest with riparian  undergrowth, and wooded areas along streams. But this species is also found in  orchards and cultivated areas near human habitations. It usually prefers moist  and dry deciduous woodlands near water. 
    The Indian Peafowl can be seen up to 2000 metres of  elevation.","The Indian Peafowl is the National Bird of India where  this superb bird is sacred and very prominent in mythology and folklore of  Indian people. Several legends tell numerous wonderful stories about this  beautiful bird. Thanks to its beauty and popularity, the species has been  protected both in its native and introduced ranges.
    Very common in India, the Indian Peafowl is found in  almost all villages and protected under Indian Wildlife Protection act, 1972.","The Indian Peafowl is found in Pakistan, throughout  India to Sri Lanka, and maybe still in Bangladesh.    
    This beautiful bird has been introduced in numerous  countries.",,"The breeding season varies according to the range, but  usually occurs in wet season.
    The nest of the Indian Peafowl is placed on the  ground, hidden in scrub vegetation (Lantana, Zizyphus), but it can be slightly  elevated in flood-prone areas.","The Indian Peafowl is omnivorous, feeding on plant  matter, insects, small snakes and mammals, berries, some fruits and green  crops.
    It forages in small groups in cultivated areas.","The Indian Peafowl takes advantage of its association  with humans. It is protected of course in India as national Bird, but also in  many areas because this bird is sacred and has religious importance. This  species often lives in villages where the bird is protected. 
    For this time, the beauty of a species saved it! The  Indian Peafowl has been brought from its native country to other parts of the  world, and this fact has probably saved the species from extinction. The close  association with humans has given peafowls a great way to survive.","HANDBOOK OF THE BIRDS OF THE WORLD Vol 2 by Josep del Hoyo-Andrew   Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334156
Citation: Hennache, A. & Ottaviani,  M. (2005). Monographie des faisans, volume 1. Edition W.P.A. France, Clères, France. ISBN: 2-9512467-1-4

Citation: Hennache, A. & Ottaviani,  M. (2006). Monographie des faisans, volume 2. Edition W.P.A. France, Clères, France.ISBN: 2-9512467-2-2
""Les auteurs renoncent à leurs  droits d'auteurs pour que la vente de cet ouvrage, publié par la World Pheasant Association, soit  destinée à soutenir des projets de conservation."" 
Avibase (Lepage Denis) 
ANIMALS – Explore,   discover, connect 
SORA Searchable   Ornithological Research Archive (Blair O. Wolf) 
SAN   DIEGO ZOO - Birds
Wikipedia (Wikipedia, The Free Encyclopedia)"
13,13,Common pheasant,Phasianus colchicus,introduced,Pheasants,Galliformes,Phasianidae,,,common-pheasant,http://www.oiseaux-birds.com/card-common-pheasant.html,,M&nbsp;: 75-89 cm &ndash; F&nbsp;: 53-62 cm,M: 770-1990 g &ndash; F: 545-1450 g,http://www.oiseaux-birds.com/galliformes/phasianides/faisan-colchide/faisan-colchide-male-nb1.jpg,http://www.xeno-canto.org/species/Phasianus-colchicus,"Common Pheasant frequents farmlands, open lands with  shrubby cover, woodland edges, open woodlands, from lowlands to mountain  foothills.","Common Pheasant adult male (or cock) has rich chestnut  plumage, with golden-brown, black and pale blue markings on body. The very long  tail is golden-brown barred with black. The lower back varies from chestnut, to  pale blue and purple.  
    Underparts are golden-chestnut with dark markings.  Vent and undertail coverts are dark chestnut.","Common Pheasant is native to India, Southeast Asia and China. Species  have been introduced elsewhere, and they are bred to be hunted in great  numbers. Common Pheasant is a game bird in all parts of the world where it is  living. This species is resident in its range.",,"The nesting period occurs from March to August, with a  peak in April-June. 
    Common Pheasant’s nest is a shallow scratched-out  depression of twigs, grass and rootlets. It is lined with grass or leaves, and  usually well hidden into vegetation, giving it domed appearance.","Common Pheasant feeds on cereal grains, seeds, buds,  leaves, fruits and some invertebrates.","Common Pheasant is the most widespread and common  pheasant in the world. Millions of birds are reared each year in Europe and North America for release in sport hunting. 
    It may be common or very abundant in many parts where  it has been introduced. 
    However, at least 15 species of pheasants are  endangered and threatened by both overhunting and habitat loss.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 2 by Josep  del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334156
THE HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN PALEARCTIC by Mark Beaman, Steve Madge -  C.Helm - ISBN: 0713639601
THE COMPLETE BOOK OF BRITISH BIRDS – Written  by “Royal Society for the Protection of Birds” experts - Préface de Magnus  Magnusson - Michael Cady- Rob Hume Editors - ISBN:  0749509112   
L’ENCYCLOPEDIE MONDIALE DES  OISEAUX - Dr  Christopher M. Perrins -  BORDAS -  ISBN: 2040185607
Citation: Hennache, A. & Ottaviani,  M. (2005). Monographie des faisans, volume 1. Edition W.P.A. France, Clères, France. ISBN: 2-9512467-1-4

Citation: Hennache, A. & Ottaviani,  M. (2006). Monographie des faisans, volume 2. Edition W.P.A. France, Clères, France.ISBN: 2-9512467-2-2
""Les auteurs renoncent à leurs  droits d'auteurs pour que la vente de cet ouvrage, publié par la World Pheasant Association, soit  destinée à soutenir des projets de conservation."" 
Avibase (Lepage Denis) 
Wikipedia (Wikipedia, The Free Encyclopedia) 
ARKive (Christopher Parsons)"
16,16,Magpie goose,Anseranas semipalmata,,Magpie goose,Anseriformes,Anseranatidae,,,magpie-goose,http://www.oiseaux-birds.com/card-magpie-goose.html,,75-90cm&nbsp;&ndash; Wingspan: 130-180 cm &ndash; Weight: 2800 g,2800 g<br />\n    Female:  Length: 70-80 cm &ndash; Wingspan: 125-165 cm &ndash; Weight: 2000 g,http://www.oiseaux-birds.com/anseriformes/anseranatides/canaroie-semipalmee/canaroie-semipalmee-pi3.jpg,,"The Magpie  Goose frequents the marshy areas with dense vegetation, both in fresh and brackish  waters. It is often seen in grasslands in floodplains along the tropical  rivers. These areas are usually subject to great variation of water levels. This  species is never far from the coasts.","The Magpie  Goose is a very peculiar species, usually more terrestrial than other Anseriformes.This bird is a mix of  duck and goose by its appearance, but actually, it is more often considered an  evolutionary link between the Anatidae species and the more terrestrial screamers of the family Anhimidae. 
    It is  the only member of the family Anseranatidae, closer to screamers than ducks and  geese.",The Magpie  Goose occurs in N Australia and S New Guinea. The species has been reintroduced  in Victoria where it was formerly widespread.,,"The breeding  season starts at the beginning of the wet season, February-April in North, and  August-September in South. 
    The Magpie  Goose forms relatively large colonies. The nest is built by both sexes. That is  a large pile of spike-rush and floating vegetation. The stems are trampled with  the feet in the water before to be used.","The Magpie  Goose feeds on plant matter such as blades and seeds of grasses, bulbs and  rhizomes.","The Magpie  Goose has suffered decline due to habitat loss and persecution by man during  the 19th century. The species is now increasing with the reintroduction  in Victoria. 
    These birds  sometimes damage pastures and ricefields, involving hunting by farmers. Hunting  is legal in the Northern territory, but the species is protected elsewhere. However,  the Aborigines still hunt them. 
    The breeding  areas are threatened by several problems such as settlements, agriculture,  grazing, drainage of wetlands and introduction of Mimosa pigra, an invasive  plant of Fabacae family. This plant forms dense shrubland, unsuitable for  breeding. 
    But currently,  this species is not threatened.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
L’ENCYCLOPEDIE  MONDIALE DES OISEAUX - Dr Christopher M. Perrins -  BORDAS - ISBN: 2040185607
GUIDE DES CANARDS,  DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé - ISBN:  2603013769
BIRDS OF AUSTRALIA by Peter Rowland – Ed: Louise Egerton - ISBN:  1864363436
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)  
Birds  in backyards (Birds Australia and Australian Museum) 
ANIMALS – Explore, discover, connect 
THE  AVIANWEB (Sibylle Faye)"
20,20,Musk duck,Biziura lobata,,"Ducks, geese and swans",Anseriformes,Anatidae,,,musk-duck,http://www.oiseaux-birds.com/card-musk-duck.html,,"61-73 cm; Weight: M: 1800-3100 g; F: 990-1800 g</p>\n  <p><strong><u>LONGEVITY</u></strong>&nbsp;:  20 years and more</p>\n  <p align=""justify""><strong><u>DESCRIPTION</u></strong>:",M: 1800-3100 g; F: 990-1800 g,http://www.oiseaux-birds.com/anseriformes/anatides/erismature-barbillons/erismature-barbillons2.jpg,,"Musk Duck lives in deep freshwater lagoons, with dense  vegetation on shores and thick reed beds. 
    After breeding season, this species may be found in  more open waters, such as sheltered bays or estuaries.",Musk Duck is an endemic Australian bird species and  the largest of Australian ducks. Male is larger than female. Its name comes  from the strong musk odour produced by a gland on the rump.,"Musk Duck lives only in Australia,  mainly in the South, from southern Queensland  to south-west corner of Western Australia, Victoria and Tasmania. 
    Dispersions may occur in winter, with numerous birds  flying southwards.",,"Musk Duck nests near water in vegetation, but  sometimes, it may nest in a hollow in fallen tree, at water level. Several  females may nest in one male’s territory, usually from July to January.
    Nest is a large cup made with trampled vegetation. It  is lined with fine grasses, and feathers are added after laying. It is usually  well hidden in dense reeds. Female may pull reeds down from over head to form a  canopy. 
    Female lays 2 to 3 eggs per clutch. We can find up to  ten eggs in one nest, but it is the result of dump nesting. Usually, only one  or two chicks survive in one clutch. Chicks are covered with dark brown down at  hatching, and they are able to swim and dive within a few days. 
    Young remain with their mother for several months, and  can be seen sometimes on her back. She provides them the most part of their  food until they are full-grown. Male doesn’t take part in nesting duties.","Musk Duck feeds on aquatic insects (water beetles),  water snails, frogs, crustaceans, and also a variety of aquatic vegetation, and  a few fish. 
  This species is carnivorous, and may eat ducklings. In  captivity, male is kept away from its own chicks.","Musk Duck may be shot by hunters sometimes, but most  important threat for this species is clearing and draining of wetlands. This  species is presently classified as vulnerable.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
GUIDE DES CANARDS, DES OIES ET  DES CYGNES – de  Steve Madge - Delachaux et Niestlé - ISBN: 2603013769
Avibase (Lepage Denis) 
Wikipedia  (Wikipedia, The Free Encyclopedia)
Arthur Grosset's Birds  (Arthur Grosset)"
22,22,Cape Barren goose,Cereopsis novaehollandiae,,"Ducks, geese and swans",Anseriformes,Anatidae,,,cape-barren-goose,http://www.oiseaux-birds.com/card-cape-barren-goose.html,,75-100 cm,3170-6800 g,http://www.oiseaux-birds.com/anseriformes/anatides/cereopse-cendree/cereopse-cendre-pi9.jpg,http://www.xeno-canto.org/species/Cereopsis-novaehollandiae,"The Cape  Barren Goose is usually found on small offshore islands where it breeds in  grassy areas, tussock grass or scrub.
    Outside the  breeding season, they reach the beaches and the coastal pastures, and frequent  the shores of freshwater lakes and brackish lagoons.","The Cape  Barren Goose was nearly extinct by the 1950s. This Australian primitive goose,  endemic to Australia, has been considered first as an aberrant shelduck, and  then as the immature phase of the Black Swan. 
    This species  is now the unique member of the genus Cereopsis.","The Cape  Barren Goose occurs on small islands off S Australia and Tasmania. 
    After the  breeding season, some of them may disperse while others remain on the breeding  grounds. 
    The non-breeding  birds fly to mainland or larger islands where they feed in coastal pastures.",,"The breeding  season occurs during winter and starts in May-June. 
    The Cape  Barren Goose breeds in loose colonies with well-spaced out nests. The male  builds the nest on the ground with vegetation. The interior is lined with down. 
    The territory  is established as soon as the autumn, and strongly defended by the pair.","The Cape  Barren Goose is vegetarian, feeding exclusively on plant matter, and mainly the  common island tussock grass Poa poifornis. But it also takes leaves, stems and  seeds of various grass species.","The Cape  Barren Goose has been hunted almost to extinction in the 20th  century, but today, the species is protected by several wildlife agencies and  the populations have increased. 
    They are  finally extinct in New Zealand where they had been introduced. 
    Changes in  the habitat for agriculture expansion may become a threat for the breeding  grounds. The management of the breeding islands as nature reserves could be  necessary, with limited grazing to avoid the dense scrubland. 
    The species  is not currently threatened and the numbers are increasing within the restricted  range.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
GUIDE DES CANARDS,  DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé - ISBN:  2603013769
BIRDS OF ASIA AND AUSTRALIA by David Alderton – Southwater  - ISBN : 184215978X
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)
Birds  in backyards (Birds Australia and Australian Museum)
ANIMALS – Explore,  discover, connect"
23,23,Black swan,Cygnus atratus,,"Ducks, geese and swans",Anseriformes,Anatidae,,,black-swan,http://www.oiseaux-birds.com/card-black-swan.html,,110-140cm,3700-8750 g,http://www.oiseaux-birds.com/anseriformes/anatides/cygne-noir/cygne-noir-jmp.jpg,,"The Black  Swan frequents mainly large lakes and lagoons with relatively shallow permanent  waters, fresh or brackish. 
But outside  the breeding season, it can be seen on rivers and coastal waters.",The Black  Swan is the emblem of Western Australia. Its black silhouette appears in the  Coat of Arms of the state.,"The Black  Swan is found in Australia and Tasmania. It has been introduced in New Zealand,  and now well established, after complete extinction due to intensive hunting. 
    This species  is sedentary in suitable habitat, but the swans may wander from ephemeral  waters, and erratic dispersions are frequently observed.",,"The breeding  season varies according to the range, but usually occurs during the highest  water level period, in February in NW Australia, and in August in the western  part of the continent. 
    The Black  Swan nests in colonies or isolated pair, in the riverine vegetation close to  the water, or on islets. The nests are very close to each other within the  colonies. 
    The large  nest is a mound of floating vegetation, but it may also be placed on the  ground. It can reach a diameter of two metres, and 40 cm high. It is made with  twigs, stems, sticks and grass, often fixed together with mud.","The Black  Swan feeds almost exclusively on plant matter, aquatic plants such as Typha,  Myriophyllum and Ruppia. It also takes algae and pondweeds (Potamogeton).   
    It feeds  by dabbling and upending.","The Black  Swan is widespread and locally common in Australia and New Zealand where it was  formerly more abundant. 
    This species  is not currently threatened.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
GUIDE DES CANARDS,  DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé - ISBN:  2603013769
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)
Birds  in backyards (Birds Australia and Australian Museum) 
Honolulu Zoo 
XENO-CANTO – Sharing Birds sounds from around  the world"
24,24,Mute swan,Cygnus olor,introduced,"Ducks, geese and swans",Anseriformes,Anatidae,,,mute-swan,http://www.oiseaux-birds.com/card-mute-swan.html,,125-160 cm&nbsp;,6-15 kg,http://www.oiseaux-birds.com/anseriformes/anatides/cygne-tubercule/cygne-tub-agressive-nb.jpg,,"The Mute Swan needs a large territory including small  lake or pond. During winter, it is common in sheltered bays, open marshes,  lakes, ponds, streams, estuaries and coastal areas.   
    The species has adapted to the life close to human,  and this bird may be common in artificial water bodies such as lakes in parks,  reservoirs, private ponds…","The Mute Swan is an integral part of our urban parks  and of most of the waters in our regions. But this beautiful white bird is originally  a wild animal, with not always compatible behaviour and habits with the life in  city parks.   
    When the breeding season starts, the male becomes  aggressive because it defends its family. We have to be careful and to make a  detour if we find a nest close to the path.","The Mute Swan breeds in British Islands,  N and C Europe and N and C Asia.
    During winter, it reaches North Africa, the Near East  and Korea. 
    It has been introduced successfully in North America where it is now resident.   
    Feral populations are established in Japan, South   Africa, SW Australia and New Zealand.",,"Pair-bonds are not for life in Mute Swans. The male  may have four mates, or even to divorce for other female. They remain together  during at least for one season.","The Mute Swan feeds primarily on the leafy parts of  aquatic vegetation and grain. It also consumes grasses, small amphibians,  molluscs, worms and insects. 
    It catches them with the bill, and filters the mud  thanks to the lamellae on the sides of the mandibles. 
    It may be seen foraging in wet meadows and grassy  areas.","The Mute Swan is threatened by lead poisoning in lakes  and ponds. 
    However, populations ate stable and this species  breeds well in captivity or semi-captivity. Their range is increasing, due to  the establishment of feral populations with introduced bird for ornamental  purposes in cities and urban parks.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew   Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
THE HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN   PALEARCTIC by Mark Beaman, Steve Madge - C.Helm - ISBN: 0713639601
THE COMPLETE BOOK OF BRITISH BIRDS – Written by “Royal Society for   the Protection of Birds” experts - Préface de Magnus Magnusson - Michael Cady- Rob Hume Editors - ISBN: 0749509112   
L’ENCYCLOPEDIE MONDIALE DES OISEAUX - Dr Christopher   M. Perrins -  BORDAS - ISBN: 2040185607
GUIDE DES CANARDS, DES OIES ET DES CYGNES – de Steve Madge -   Delachaux et Niestlé - ISBN: 2603013769
Avibase (Lepage Denis)"
