,id,common_name,binomial,category,order,family,colour1,colour2,colour3,min_length,max_length,min_weight,max_weight,voice,descriptions,diet,sources,vic,nsw,qld,act,nt,sa,tas,wa
0,0,Southern cassowary,Casuarius casuarius,Cassowaries,Casuariformes,Casuariidae,black,blue,red,150.0,200.0,29000.0,34000.0,http://www.xeno-canto.org/species/Casuarius-casuarius,"Southern Cassowary is the second largest and tallest  bird after the Ostrich. This species differs in general facts by the female.  She has the criterions of most of the other species’ males, such as brighter  colours, really much larger size, and she does not share the nesting duties  with the male.","Southern Cassowary feeds mainly on fallen fruits of  different plant’s species. It also consumes invertebrates, small vertebrates  and sometimes carrion.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
L’ENCYCLOPEDIE MONDIALE DES  OISEAUX - Dr  Christopher M. Perrins -  BORDAS -  ISBN: 2040185607
Avibase (Lepage Denis)

Birds in backyards (Birds Australia and Australian Museum) 
ARKive (Christopher Parsons) 
El Zoológico Electrónico (Damisela)",,,1.0,,,,,
1,1,Emu,Dromaius novaehollandiae,Emus,Casuariformes,Dromaiidae,brown,,,150.0,190.0,30000.0,55000.0,http://www.xeno-canto.org/species/Dromaius-novaehollandiae,"The Emu is  a flightless bird, but the long, powerful legs make it well adapted for walking  and running over wide areas. This is the second largest living bird, after the Ostrich.","The Emu  is omnivorous, but it feeds regularly on highly nutritious food. It feeds on  seeds, fruits, flowers and tender roots. In summer, large quantities of insects  are eaten, especially caterpillars, grasshoppers and beetles. It also takes small  vertebrates. 
    Coprophagy  is also recorded in order to avoid deshydratation in dry areas where food  resources are scarce. In suitable habitat, it drinks 2-3 times a day.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
L’ENCYCLOPEDIE  MONDIALE DES OISEAUX - Dr Christopher M. Perrins -  BORDAS - ISBN: 2040185607
BIRDS OF ASIA AND AUSTRALIA by David Alderton – Southwater  - ISBN : 184215978X
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)  
Animal  Diversity Web (University of Michigan Museum of  Zoology) 
Birds  in backyards (Birds Australia and Australian Museum) 
SAN DIEGO ZOO - Birds",1.0,1.0,1.0,1.0,,1.0,1.0,1.0
2,6,Orange-footed scrubfowl,Megapodius reinwardt,Mound-builders,Galliformes,Megapodidae,brown,blue,,35.0,47.0,850.0,1200.0,,"Orange-footed Scrubfowl is one of the three Australian  megapodes. Their drab plumage with combination of brown, black and grey is well  adapted to their terrestrial life. 
    Adult male has grey upperparts, widely tinged with  chestnut. Wings and short tail are dark chestnut.","Orange-footed Scrubfowl feeds mainly on seeds, fallen  fruits, berries, roots and shoots of flowers. It also consumes snails,  earthworms, insects and their larvae. Food is found in leaf litter.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 2 by Josep  del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334156
Avibase (Lepage Denis) 
Wikipedia (Wikipedia, The Free Encyclopedia)",,,1.0,,1.0,,,1.0
3,10,Indian peafowl,Pavo cristatus,Pheasants,Galliformes,Phasianidae,Blue,green,,180.0,230.0,4000.0,6000.0,http://www.xeno-canto.org/species/Pavo-cristatus,"The Indian Peafowl is the National Bird of India where  this superb bird is sacred and very prominent in mythology and folklore of  Indian people. Several legends tell numerous wonderful stories about this  beautiful bird. Thanks to its beauty and popularity, the species has been  protected both in its native and introduced ranges.
    Very common in India, the Indian Peafowl is found in  almost all villages and protected under Indian Wildlife Protection act, 1972.","The Indian Peafowl is omnivorous, feeding on plant  matter, insects, small snakes and mammals, berries, some fruits and green  crops.
    It forages in small groups in cultivated areas.","HANDBOOK OF THE BIRDS OF THE WORLD Vol 2 by Josep del Hoyo-Andrew   Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334156
Citation: Hennache, A. & Ottaviani,  M. (2005). Monographie des faisans, volume 1. Edition W.P.A. France, Clères, France. ISBN: 2-9512467-1-4

Citation: Hennache, A. & Ottaviani,  M. (2006). Monographie des faisans, volume 2. Edition W.P.A. France, Clères, France.ISBN: 2-9512467-2-2
""Les auteurs renoncent à leurs  droits d'auteurs pour que la vente de cet ouvrage, publié par la World Pheasant Association, soit  destinée à soutenir des projets de conservation."" 
Avibase (Lepage Denis) 
ANIMALS – Explore,   discover, connect 
SORA Searchable   Ornithological Research Archive (Blair O. Wolf) 
SAN   DIEGO ZOO - Birds
Wikipedia (Wikipedia, The Free Encyclopedia)",,1.0,1.0,1.0,,1.0,1.0,1.0
4,13,Common pheasant,Phasianus colchicus,Pheasants,Galliformes,Phasianidae,brown,tan,,75.0,89.0,770.0,1990.0,http://www.xeno-canto.org/species/Phasianus-colchicus,"Common Pheasant adult male (or cock) has rich chestnut  plumage, with golden-brown, black and pale blue markings on body. The very long  tail is golden-brown barred with black. The lower back varies from chestnut, to  pale blue and purple.  
    Underparts are golden-chestnut with dark markings.  Vent and undertail coverts are dark chestnut.","Common Pheasant feeds on cereal grains, seeds, buds,  leaves, fruits and some invertebrates.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 2 by Josep  del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334156
THE HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN PALEARCTIC by Mark Beaman, Steve Madge -  C.Helm - ISBN: 0713639601
THE COMPLETE BOOK OF BRITISH BIRDS – Written  by “Royal Society for the Protection of Birds” experts - Préface de Magnus  Magnusson - Michael Cady- Rob Hume Editors - ISBN:  0749509112   
L’ENCYCLOPEDIE MONDIALE DES  OISEAUX - Dr  Christopher M. Perrins -  BORDAS -  ISBN: 2040185607
Citation: Hennache, A. & Ottaviani,  M. (2005). Monographie des faisans, volume 1. Edition W.P.A. France, Clères, France. ISBN: 2-9512467-1-4

Citation: Hennache, A. & Ottaviani,  M. (2006). Monographie des faisans, volume 2. Edition W.P.A. France, Clères, France.ISBN: 2-9512467-2-2
""Les auteurs renoncent à leurs  droits d'auteurs pour que la vente de cet ouvrage, publié par la World Pheasant Association, soit  destinée à soutenir des projets de conservation."" 
Avibase (Lepage Denis) 
Wikipedia (Wikipedia, The Free Encyclopedia) 
ARKive (Christopher Parsons)",,,,,1.0,,1.0,1.0
5,16,Magpie goose,Anseranas semipalmata,Magpie goose,Anseriformes,Anseranatidae,black,white,,75.0,90.0,70.0,80.0,,"The Magpie  Goose is a very peculiar species, usually more terrestrial than other Anseriformes.This bird is a mix of  duck and goose by its appearance, but actually, it is more often considered an  evolutionary link between the Anatidae species and the more terrestrial screamers of the family Anhimidae. 
    It is  the only member of the family Anseranatidae, closer to screamers than ducks and  geese.","The Magpie  Goose feeds on plant matter such as blades and seeds of grasses, bulbs and  rhizomes.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
L’ENCYCLOPEDIE  MONDIALE DES OISEAUX - Dr Christopher M. Perrins -  BORDAS - ISBN: 2040185607
GUIDE DES CANARDS,  DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé - ISBN:  2603013769
BIRDS OF AUSTRALIA by Peter Rowland – Ed: Louise Egerton - ISBN:  1864363436
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)  
Birds  in backyards (Birds Australia and Australian Museum) 
ANIMALS – Explore, discover, connect 
THE  AVIANWEB (Sibylle Faye)",1.0,1.0,1.0,,1.0,1.0,1.0,1.0
6,20,Musk duck,Biziura lobata,"Ducks, geese and swans",Anseriformes,Anatidae,brown,,,61.0,73.0,1800.0,3100.0,,Musk Duck is an endemic Australian bird species and  the largest of Australian ducks. Male is larger than female. Its name comes  from the strong musk odour produced by a gland on the rump.,"Musk Duck feeds on aquatic insects (water beetles),  water snails, frogs, crustaceans, and also a variety of aquatic vegetation, and  a few fish. 
  This species is carnivorous, and may eat ducklings. In  captivity, male is kept away from its own chicks.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
GUIDE DES CANARDS, DES OIES ET  DES CYGNES – de  Steve Madge - Delachaux et Niestlé - ISBN: 2603013769
Avibase (Lepage Denis) 
Wikipedia  (Wikipedia, The Free Encyclopedia)
Arthur Grosset's Birds  (Arthur Grosset)",1.0,1.0,1.0,1.0,,1.0,1.0,1.0
7,22,Cape Barren goose,Cereopsis novaehollandiae,"Ducks, geese and swans",Anseriformes,Anatidae,grey,,,75.0,100.0,3170.0,6800.0,http://www.xeno-canto.org/species/Cereopsis-novaehollandiae,"The Cape  Barren Goose was nearly extinct by the 1950s. This Australian primitive goose,  endemic to Australia, has been considered first as an aberrant shelduck, and  then as the immature phase of the Black Swan. 
    This species  is now the unique member of the genus Cereopsis.","The Cape  Barren Goose is vegetarian, feeding exclusively on plant matter, and mainly the  common island tussock grass Poa poifornis. But it also takes leaves, stems and  seeds of various grass species.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
GUIDE DES CANARDS,  DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé - ISBN:  2603013769
BIRDS OF ASIA AND AUSTRALIA by David Alderton – Southwater  - ISBN : 184215978X
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)
Birds  in backyards (Birds Australia and Australian Museum)
ANIMALS – Explore,  discover, connect",1.0,1.0,1.0,,,1.0,1.0,1.0
8,23,Black swan,Cygnus atratus,"Ducks, geese and swans",Anseriformes,Anatidae,black,,,110.0,140.0,3700.0,8750.0,,The Black  Swan is the emblem of Western Australia. Its black silhouette appears in the  Coat of Arms of the state.,"The Black  Swan feeds almost exclusively on plant matter, aquatic plants such as Typha,  Myriophyllum and Ruppia. It also takes algae and pondweeds (Potamogeton).   
    It feeds  by dabbling and upending.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
GUIDE DES CANARDS,  DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé - ISBN:  2603013769
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)
Birds  in backyards (Birds Australia and Australian Museum) 
Honolulu Zoo 
XENO-CANTO – Sharing Birds sounds from around  the world",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,24,Mute swan,Cygnus olor,"Ducks, geese and swans",Anseriformes,Anatidae,white,,,125.0,160.0,6000.0,15000.0,,"The Mute Swan is an integral part of our urban parks  and of most of the waters in our regions. But this beautiful white bird is originally  a wild animal, with not always compatible behaviour and habits with the life in  city parks.   
    When the breeding season starts, the male becomes  aggressive because it defends its family. We have to be careful and to make a  detour if we find a nest close to the path.","The Mute Swan feeds primarily on the leafy parts of  aquatic vegetation and grain. It also consumes grasses, small amphibians,  molluscs, worms and insects. 
    It catches them with the bill, and filters the mud  thanks to the lamellae on the sides of the mandibles. 
    It may be seen foraging in wet meadows and grassy  areas.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew   Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
THE HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN   PALEARCTIC by Mark Beaman, Steve Madge - C.Helm - ISBN: 0713639601
THE COMPLETE BOOK OF BRITISH BIRDS – Written by “Royal Society for   the Protection of Birds” experts - Préface de Magnus Magnusson - Michael Cady- Rob Hume Editors - ISBN: 0749509112   
L’ENCYCLOPEDIE MONDIALE DES OISEAUX - Dr Christopher   M. Perrins -  BORDAS - ISBN: 2040185607
GUIDE DES CANARDS, DES OIES ET DES CYGNES – de Steve Madge -   Delachaux et Niestlé - ISBN: 2603013769
Avibase (Lepage Denis)",,1.0,,,,,1.0,1.0
