,Binomial,Category,Common name,Family,Notes,Order,colour,common_name_in_url,size,url,"('nsw', 'vic', 'tas', 'act', 'sa', 'wa', 'nt', 'qld')",nsw,vic,tas,act,sa,wa,nt,qld,min_weight,max_weight,min_length,max_length,images_url,voice_url,Description,Sourcescolour
2,Dromaius ater,Emus,King Island emu,Dromaiidae,extinct,Casuariformes,,King_Island_emu,,https://en.wikipedia.org/wiki/King_Island_emu,,,,,,,,,,,,,,,,,
3,Dromaius baudinianus,Emus,Kangaroo Island emu,Dromaiidae,extinct,Casuariformes,,Kangaroo_Island_emu,,https://en.wikipedia.org/wiki/Kangaroo_Island_emu,,,,,,,,,,,,,,,,,
4,Alectura lathami,Mound-builders,Australian brushturkey,Megapodidae,,Galliformes,,Australian_brushturkey,,https://en.wikipedia.org/wiki/Australian_brushturkey,,,,,,,,,,,,,,,,,
5,Leipoa ocellata,Mound-builders,Malleefowl,Megapodidae,,Galliformes,,Malleefowl,,https://en.wikipedia.org/wiki/Malleefowl,,,,,,,,,,,,,,,,,
7,Coturnix pectoralis,Pheasants,Stubble quail,Phasianidae,,Galliformes,,Stubble_quail,,https://en.wikipedia.org/wiki/Stubble_quail,,,,,,,,,,,,,,,,,
8,Coturnix ypsilophora,Pheasants,Brown quail,Phasianidae,,Galliformes,,Brown_quail,,https://en.wikipedia.org/wiki/Brown_quail,,,,,,,,,,,,,,,,,
9,Excalfactoria chinensis,Pheasants,King quail,Phasianidae,,Galliformes,,King_quail,,https://en.wikipedia.org/wiki/King_quail,,,,,,,,,,,,,,,,,
11,Gallus gallus,Pheasants,Red junglefowl,Phasianidae,introduced,Galliformes,,Red_junglefowl,,https://en.wikipedia.org/wiki/Red_junglefowl,,,,,,,,,,,,,,,,,
12,Gallus varius,Pheasants,Green junglefowl,Phasianidae,"introduced, Cocos (Keeling) Islands",Galliformes,,Green_junglefowl,,https://en.wikipedia.org/wiki/Green_junglefowl,,,,,,,,,,,,,,,,,
14,Meleagris gallopavo,Pheasants,Wild turkey,Phasianidae,introduced,Galliformes,,Wild_turkey,,https://en.wikipedia.org/wiki/Wild_turkey,,,,,,,,,,,,,,,,,
15,Numida meleagris,Guineafowl,Helmeted guineafowl,Numididae,introduced,Galliformes,,Helmeted_guineafowl,,https://en.wikipedia.org/wiki/Helmeted_guineafowl,,,,,,,,,,,,,,,,,
