,Common name,Binomial,Category,Order,Family
0,Southern cassowary,Casuarius casuarius,Cassowaries,Casuariformes,Casuariidae
1,Emu,Dromaius novaehollandiae,Emus,Casuariformes,Dromaiidae
2,King Island emu,Dromaius ater,Emus,Casuariformes,Dromaiidae
3,Kangaroo Island emu,Dromaius baudinianus,Emus,Casuariformes,Dromaiidae
4,Australian brushturkey,Alectura lathami,Mound-builders,Galliformes,Megapodidae
5,Malleefowl,Leipoa ocellata,Mound-builders,Galliformes,Megapodidae
6,Orange-footed scrubfowl,Megapodius reinwardt,Mound-builders,Galliformes,Megapodidae
7,Stubble quail,Coturnix pectoralis,Pheasants,Galliformes,Phasianidae
8,Brown quail,Coturnix ypsilophora,Pheasants,Galliformes,Phasianidae
9,King quail,Excalfactoria chinensis,Pheasants,Galliformes,Phasianidae
10,Indian peafowl,Pavo cristatus,Pheasants,Galliformes,Phasianidae
11,Red junglefowl,Gallus gallus,Pheasants,Galliformes,Phasianidae
12,Green junglefowl,Gallus varius,Pheasants,Galliformes,Phasianidae
13,Common pheasant,Phasianus colchicus,Pheasants,Galliformes,Phasianidae
14,Wild turkey,Meleagris gallopavo,Pheasants,Galliformes,Phasianidae
15,Helmeted guineafowl,Numida meleagris,Guineafowl,Galliformes,Numididae
16,Magpie goose,Anseranas semipalmata,Magpie goose,Anseriformes,Anseranatidae
17,Spotted whistling duck,Dendrocygna guttata,"Ducks, geese and swans",Anseriformes,Anatidae
18,Plumed whistling duck,Dendrocygna eytoni,"Ducks, geese and swans",Anseriformes,Anatidae
19,Wandering whistling duck,Dendrocygna arcuata,"Ducks, geese and swans",Anseriformes,Anatidae
20,Musk duck,Biziura lobata,"Ducks, geese and swans",Anseriformes,Anatidae
21,Freckled duck,Stictonetta naevosa,"Ducks, geese and swans",Anseriformes,Anatidae
22,Cape Barren goose,Cereopsis novaehollandiae,"Ducks, geese and swans",Anseriformes,Anatidae
23,Black swan,Cygnus atratus,"Ducks, geese and swans",Anseriformes,Anatidae
24,Mute swan,Cygnus olor,"Ducks, geese and swans",Anseriformes,Anatidae
