Idx,Common name,Binomial,voice_url,URL to list of all the species bird calls,
6,Orange-footed scrubfowl,Megapodius reinwardt,http://www.xeno-canto.org/293115,http://www.xeno-canto.org/species/Megapodius-reinwardt,
16,Magpie goose,Anseranas semipalmata,,http://www.xeno-canto.org/species/Anseranas-semipalmata,
20,Musk duck,Biziura lobata,,http://www.xeno-canto.org/species/Biziura-lobata,
23,Black swan,Cygnus atratus,,http://www.xeno-canto.org/species/Cygnus-atratus,
24,Mute swan,Cygnus olor,,http://www.xeno-canto.org/species/Cygnus-olor,
25,Canada goose,Branta canadensis,,http://www.xeno-canto.org/species/Branta-canadensis,
26,Radjah shelduck,Tadorna radjah,,http://www.xeno-canto.org/species/Tadorna-radjah,* called Raja Shelduck
27,Australian shelduck,Tadorna tadornoides,,http://www.xeno-canto.org/species/Tadorna-tadornoides,
28,Paradise shelduck,Tadorna variegata,,http://www.xeno-canto.org/species/Tadorna-variegata,
29,Australian wood duck,Chenonetta jubata,,http://www.xeno-canto.org/species/Chenonetta-jubata,* called Maned Duck
30,Pink-eared duck,Malacorhynchus membranaceus,,http://www.xeno-canto.org/species/Malacorhynchus-membranaceus,
33,Garganey,Anas querquedula,,http://www.xeno-canto.org/species/Anas-querquedula,
35,Northern shoveler,Anas clypeata,,http://www.xeno-canto.org/species/Anas-clypeata,
38,Northern pintail,Anas acuta,,http://www.xeno-canto.org/species/Anas-acuta,
40,Pacific black duck,Anas superciliosa,,http://www.xeno-canto.org/species/Anas-superciliosa,
41,Hardhead,Aythya australis,,http://www.xeno-canto.org/species/Aythya-australis,
42,Blue-billed duck,Oxyura australis,,http://www.xeno-canto.org/species/Oxyura-australis,*none
48,Great crested grebe,Podiceps cristatus,,http://www.xeno-canto.org/species/Podiceps-cristatus,
82,New Zealand pigeon,Hemiphaga novaeseelandiae,,http://www.xeno-canto.org/species/Hemiphaga-novaeseelandiae,
83,Tawny frogmouth,Podargus strigoides,,http://www.xeno-canto.org/species/Podargus-strigoides,
88,Large-tailed nightjar,Caprimulgus macrurus,,http://www.xeno-canto.org/species/Caprimulgus-macrurus,
106,Grey-backed storm petrel,Garrodia nereis,,,
108,Black-bellied storm petrel,Fregetta tropica,,http://www.xeno-canto.org/species/Fregetta-tropica,*none
110,Wandering albatross,Diomedea exulans,,http://www.xeno-canto.org/species/Diomedea-exulans,
111,Antipodean albatross,Diomedea antipodensis,,http://www.xeno-canto.org/species/Diomedea-antipodensis,
112,Southern royal albatross,Diomedea epomophora,,http://www.xeno-canto.org/species/Diomedea-epomophora,
113,Northern royal albatross,Diomedea sanfordi,,,
114,Laysan albatross,Phoebastria immutabilis,,http://www.xeno-canto.org/species/Phoebastria-immutabilis,
