,Unnamed: 0,Common name,Binomial,Notes,Category,Order,Family,colour,size,Common_name_lowercase,link,Height,Length,Weight,Image,Voice,Habitat,Description,Range,Movements,Reproduction,Diet,Protection,Sources
2,2,King Island emu,Dromaius ater,extinct,Emus,Casuariformes,Dromaiidae,,,king-island-emu,http://www.oiseaux-birds.com/card-king-island-emu.html,,,,,,,,,,,,,
3,3,Kangaroo Island emu,Dromaius baudinianus,extinct,Emus,Casuariformes,Dromaiidae,,,kangaroo-island-emu,http://www.oiseaux-birds.com/card-kangaroo-island-emu.html,,,,,,,,,,,,,
4,4,Australian brushturkey,Alectura lathami,,Mound-builders,Galliformes,Megapodidae,,,australian-brushturkey,http://www.oiseaux-birds.com/card-australian-brushturkey.html,,,,,,,,,,,,,
5,5,Malleefowl,Leipoa ocellata,,Mound-builders,Galliformes,Megapodidae,,,malleefowl,http://www.oiseaux-birds.com/card-malleefowl.html,,,,,,,,,,,,,
7,7,Stubble quail,Coturnix pectoralis,,Pheasants,Galliformes,Phasianidae,,,stubble-quail,http://www.oiseaux-birds.com/card-stubble-quail.html,,,,,,,,,,,,,
8,8,Brown quail,Coturnix ypsilophora,,Pheasants,Galliformes,Phasianidae,,,brown-quail,http://www.oiseaux-birds.com/card-brown-quail.html,,,,,,,,,,,,,
9,9,King quail,Excalfactoria chinensis,,Pheasants,Galliformes,Phasianidae,,,king-quail,http://www.oiseaux-birds.com/card-king-quail.html,,,,,,,,,,,,,
11,11,Red junglefowl,Gallus gallus,introduced,Pheasants,Galliformes,Phasianidae,,,red-junglefowl,http://www.oiseaux-birds.com/card-red-junglefowl.html,,,,,,,,,,,,,
12,12,Green junglefowl,Gallus varius,"introduced, Cocos (Keeling) Islands",Pheasants,Galliformes,Phasianidae,,,green-junglefowl,http://www.oiseaux-birds.com/card-green-junglefowl.html,,,,,,,,,,,,,
14,14,Wild turkey,Meleagris gallopavo,introduced,Pheasants,Galliformes,Phasianidae,,,wild-turkey,http://www.oiseaux-birds.com/card-wild-turkey.html,,,,,,,,,,,,,
15,15,Helmeted guineafowl,Numida meleagris,introduced,Guineafowl,Galliformes,Numididae,,,helmeted-guineafowl,http://www.oiseaux-birds.com/card-helmeted-guineafowl.html,,,,,,,,,,,,,
