id,colour1,colour2,colour3
0,black,blue,red
1,brown,,
6,brown,blue,
10,Blue,green,
13,brown,tan,
16,black,white,
20,brown,,
22,grey,,
23,black,,
24,white,,
25,brown,,
26,white,black,
27,black,brown,green
28,black,green,
29,brown,black,
30,brown,white,
33,brown,grey,
35,green,white,chestnut
38,brown,white,
40,brown,,
41,brown,,
42,chestnut,,
43,white,,
44,white,,
48,dark brown,,
54,brown,,
55,brown,,
56,brown,,
58,brown,,
61,grey-brown,,
62,brown,,
68,brown-grey,,
69,blue-grey,,
70,grey,white,
82,blue-green,,
83,grey,,
88,black,brown,
106,grey,white,
108,black,white,
110,white,,
111,brown,,
112,white,,
113,white,brown,
114,white,black,
115,white,grey,
116,white,black,
119,white,black,
120,white,black,grey
123,grey,,
125,brown,,
126,grey-brown,,
127,white,grey,
128,white,brown,
129,black,white,
130,white,,
131,white,grey,
132,blue-grey,white,
134,blue-grey,white,
135,blue-grey,white,
136,blue-grey,white,
138,black,,
139,black,,
140,black,,
141,brown-grey,white,
144,grey-brown,,
146,black,,
147,brown,,
148,black,brown,white
149,black,,
159,black,white,
161,black,,
166,grey,white,
167,grey,white,
168,brown,,
177,black,white,
179,black,white,
180,black,white,
181,black,white,
182,black,white,
183,black,white,
185,black,white,
186,black,white,
187,black,white,
189,black,white,
190,black,white,
191,black,white,
192,brown,black,
193,black,,
194,brown,black,
196,black,white,
197,white,,
198,white,black,
199,white,,
200,brown,black,
203,black,,
204,black,,
207,black,white,
209,black,brown,white
210,hite,black,
217,grey,,
220,white,,
222,white,,
224,red,blue,white
227,grey,,
228,white,,
230,black,white,
235,black,blue,
237,white,,
238,black,white,
245,grey,white,
247,brown,white,
254,brown,,
257,brown,,
258,brown,,
261,brown,,
265,blue-grey,,
266,grey,red,
267,grey,red,
272,grey,brown,red
276,brown,black,
283,black,white,
287,grey-black,,
289,brown,,
290,white,,
296,black,,
299,black,white,yellow
300,black,,
301,black,white,
303,grey-brown,white,
306,grey-brown,white,
316,brown,black,white
320,black,,
325,brown-grey,,
326,brown,,
327,brown,,
329,grey-brown,,
332,grey,black,
333,grey-brown,,
334,green-brown,,
337,black,grey,
339,grey-brown,,
340,grey-brown,,
341,grey-brown,,
342,brown,,
343,grey-brown,,
344,brown,black,white
348,grey,,
349,grey,,
350,grey-brown,,
353,grey-brown,,
355,grey-brown,,
356,grey-brown,,
357,grey,black,
358,grey-brown,,
360,brown,,
361,grey-brown,,
362,grey-brown,,
364,grey,brown,red
375,grey-brown,,
376,brown,,
379,grey,white,
383,white,,
386,black,white,
387,grey,,
393,grey,,
395,grey,white,
397,white,black,
398,grey,,
399,grey,white,
402,black,white,
403,grey,white,
404,black,white,
405,grey,white,
407,black,,
409,grey,white,
410,grey,white,black
414,black,,
419,grey,red,
421,pink,grey,
422,white,,
423,white,,
425,white,,
426,grey,yellow,
427,green,red,blue
438,green,red,
439,green,red,
444,red,blue,white
462,green,yellow,
475,black,brown,
477,brown,,
490,brown,,
495,brown,,
501,blue,,
508,brown,blue,
514,blue,,
520,black,green,blue
523,brown,,
538,black,,
541,grey,,
543,blue,black,grey
642,grey,,
675,green,blue,
689,,,
744,black,white,
745,black,white,
746,brown,grey,
748,black,,
751,brown,black,
755,black,white,
756,brown,,
758,black,,
763,black,,
774,black,white,
779,grey,black,
808,brown,,
826,green,,
829,blue,,
833,black,red,
835,grey-brown,red,
836,blue,brown,
838,black,orange,yellow
842,brown,,
850,black,,
852,black,pink,
853,brown,,
858,grey-brown,,
878,grey,,
881,brown,red,
883,yellow,,
885,yellow,grey,
887,white,grey,
889,brown,yellow,
890,Grey,pink,
891,yellow,grey,
892,yellow,,
