id,vic,nsw,qld,act,nt,sa,tas,wa
0,,,1.0,,,,,
1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
6,,,1.0,,1.0,,,1.0
10,,1.0,1.0,1.0,,1.0,1.0,1.0
13,,,,,1.0,,1.0,1.0
16,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
22,1.0,1.0,1.0,,,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,,1.0,,,,,1.0,1.0
25,,1.0,,,,,,
26,,,1.0,,1.0,,,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,,1.0,,,,,,
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,,1.0,,1.0,1.0
35,1.0,1.0,1.0,,,1.0,,1.0
38,,1.0,,,1.0,,,1.0
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,,,,,1.0
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,,,1.0,,1.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,,,,,
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
62,,,1.0,,1.0,1.0,,1.0
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,1.0,,,1.0
70,1.0,1.0,1.0,1.0,,,,
82,,,1.0,,,,,1.0
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,,,1.0,,1.0,,,
106,1.0,1.0,,,,1.0,1.0,1.0
108,1.0,1.0,1.0,,,1.0,1.0,1.0
110,1.0,1.0,1.0,,,1.0,1.0,1.0
111,,1.0,,,,,1.0,
112,1.0,1.0,1.0,,,1.0,1.0,1.0
113,1.0,1.0,1.0,,,1.0,1.0,1.0
114,,,,,,,,
115,1.0,1.0,1.0,,,1.0,1.0,1.0
116,1.0,1.0,1.0,,,1.0,1.0,1.0
119,1.0,1.0,1.0,,,1.0,1.0,1.0
120,1.0,1.0,1.0,,,1.0,1.0,1.0
123,1.0,1.0,1.0,,,1.0,1.0,1.0
125,1.0,1.0,1.0,,,1.0,1.0,1.0
126,1.0,1.0,1.0,,,1.0,1.0,1.0
127,1.0,1.0,1.0,,,1.0,1.0,1.0
128,1.0,1.0,,,,1.0,1.0,1.0
129,1.0,1.0,1.0,,,1.0,1.0,1.0
130,1.0,,,,,1.0,,
131,1.0,1.0,,,,1.0,1.0,1.0
