Idx,Common name,Binomial,min_length,max_length
0,Southern cassowary,Casuarius casuarius,150,200
41,Hardhead,Aythya australis,45,60
55,Spotted dove,Spilopelia chinensis,29,32
58,Common bronzewing,Phaps chalcoptera,30,36
108,Black-bellied storm petrel,Fregetta tropica,20,21
113,Northern royal albatross,Diomedea sanfordi,110,115
120,Grey-headed albatross,Thalassarche chrysostoma,80,82
132,Broad-billed prion,Pachyptila vittata,25,30
140,Black petrel,Procellaria parkinsoni,46,48
144,Wedge-tailed shearwater,Ardenna pacifica,41,46
148,Great shearwater,Ardenna gravis,43,51
161,Kerguelen petrel,Lugensa brevirostris,33,36
166,Soft-plumaged petrel,Pterodroma mollis,32,37
181,Gentoo penguin,Pygoscelis papua,75,90
203,Great cormorant,Phalacrocorax carbo,70,90
204,Little black cormorant,Phalacrocorax sulcirostris,58,63
209,Kerguelen shag,Phalacrocorax verrucosus,63,67
217,Grey heron,Ardea cinerea,84,100
224,Chinese pond heron,Ardeola bacchus,45,49
227,White-faced heron,Egretta novaehollandiae,60,70
228,Little egret,Egretta garzetta,55,65
235,Straw-necked ibis,Threskiornis spinicollis,59,76
238,Black-necked stork,Ephippiorhynchus asiaticus,115,120
247,Brahminy kite,Haliastur indus,45,51
258,Little eagle,Hieraaetus morphnoides,45,55
266,Sarus crane,Grus antigone,110,130
267,Brolga,Grus rubicunda,100,125
329,Whimbrel,Numenius phaeopus,40,45
395,White-fronted tern,Sterna striata,40,45
402,Pacific gull,Larus pacificus,50,67
410,Black-headed gull,Chroicocephalus ridibundus,38,44
419,Gang-gang cockatoo,Callocephalon fimbriatum,34,35
422,Long-billed corella,Cacatua tenuirostris,38,41
425,Sulphur-crested cockatoo,Cacatua galerita,45,50
427,Rainbow lorikeet,Trichoglossus moluccanus,28,32
444,Crimson rosella,Platycercus elegans,32,36
462,Budgerigar,Melopsittacus undulatus,17,18
490,Rufous owl,Ninox rufa,52,56
501,Common kingfisher,Alcedo atthis,15,18
514,Black-capped kingfisher,Halcyon pileata,25,29
520,Rainbow pitta,Pitta iris,13,15
523,Superb lyrebird,Menura novaehollandiae,80,100
541,Great bowerbird,Ptilonorhynchus nuchalis,33,37
642,Noisy miner,Manorina melanocephala,24,29
675,Blue-faced honeyeater,Entomyzon cyanotis,26,32
689,Grey-crowned babbler,Pomatostomus temporalis,25,29
744,Australian magpie,Cracticus tibicen,36,44
745,Pied currawong,Strepera graculina,44,51
755,Willie wagtail,Rhipidura leucophrys,18,22
758,Australian raven,Corvus coronoides,46,53
774,Magpie-lark,Grallina cyanoleuca,26,30
779,Apostlebird,Struthidea cinerea,29,33
808,Zitting cisticola,Cisticola juncidis,10,12
836,Blue rock thrush,Monticola solitarius,21,23
838,Narcissus flycatcher,Ficedula narcissina,13,14
852,Rosy starling,Pastor roseus,21,22
887,White wagtail,Motacilla alba,16,18
889,European goldfinch,Carduelis carduelis,12,15
