Idx,Common name,Binomial,nsw,vic,tas,act,sa,wa,nt,qld,
26,Radjah shelduck,Tadorna radjah,,,,,,1,1,1,
33,Garganey,Anas querquedula,1,1,1,,,1,1,1,
35,Northern shoveler,Anas clypeata,1,1,,,1,1,,1,
54,Laughing dove,Spilopelia senegalensis,1,1,,,1,1,,1,
55,Spotted dove,Spilopelia chinensis,1,1,1,1,1,1,1,1,
68,Peaceful dove,Geopelia striata,1,1,1,1,1,1,1,1,
82,New Zealand pigeon,Hemiphaga novaeseelandiae,,,,,,1,,1,
114,Laysan albatross,Phoebastria immutabilis,,,,,,,,,*Not in Australia
130,Snow petrel,Pagodroma nivea,,1,,,1,,,,
161,Kerguelen petrel,Lugensa brevirostris,1,1,1,,1,1,,1,
180,Emperor penguin,Aptenodytes forsteri,,,,,,,,,Antartica
207,Macquarie shag,Phalacrocorax purpurascens,,,,,,,,,Macquarie Island
222,Cattle egret,Ardea ibis,1,1,1,1,1,1,1,1,
266,Sarus crane,Grus antigone,,,,,,,1,1,
267,Brolga,Grus rubicunda,1,1,,1,,1,1,1,
290,Black-faced sheathbill,Chionis minor,,1,,,,,,,
296,Black-winged stilt,Himantopus himantopus,1,1,1,1,1,1,1,1,
300,American golden plover,Pluvialis dominicus,1,1,1,,1,1,,1,
360,Buff-breasted sandpiper,Tryngites subruficollis,,,,,1,,,,
361,Broad-billed sandpiper,Limicola falcinellus,,1,1,,1,1,,1,
362,Ruff,Philomachus pugnax,1,1,1,,1,1,,1,
376,Brown skua,Stercorarius antarcticus,1,1,1,,1,1,,,
379,Long-tailed jaeger,Stercorarius longicauda,1,1,1,1,1,1,1,1,
386,Sooty tern,Onychoprion fuscata,,1,,,1,1,,1,
405,Mew gull,Larus canus,,,,,,,,,*Not in Australia
477,Long-tailed cuckoo,Eudynamys taitensis,,,,,,,,1,Also: Urodynamis taitensis
495,Buffy fish owl,Bubo ketupu,1,,,,,,,,
501,Common kingfisher,Alcedo atthis,1,1,1,1,1,1,1,1,
541,Great bowerbird,Ptilonorhynchus nuchalis,1,,,,,1,1,1,
744,Australian magpie,Cracticus tibicen,1,1,1,1,1,1,1,1,
751,New Zealand fantail,Rhipidura fuliginosa,1,1,1,1,1,1,1,1,
826,Arctic warbler,Phylloscopus borealis,,,,,,1,,,
858,Double-barred finch,Taeniopygia bichenovii,1,,,1,,1,1,1,
892,Yellowhammer,Emberiza citrinella,,,,,,,,,Macquarie Island
